@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,article-number,pii
true,https://api.elsevier.com/content/abstract/scopus_id/85076672931,SCOPUS_ID:85076672931,2-s2.0-85076672931,miR-212 and miR-132 Are Downregulated in Neurally Derived Plasma Exosomes of Alzheimer’s Patients,Cha D.J.,Frontiers in Neuroscience,16624548,1662453X,13,NA,NA,2019-11-26,26 November 2019,10.3389/fnins.2019.01208,"It was recently discovered that brain cells release extracellular vesicles (EV) which can pass from brain into blood. These findings raise the possibility that brain-derived EV’s present in blood can be used to monitor disease processes occurring in the cerebrum. Since the levels of certain micro-RNAs (miRNAs) have been reported to be altered in Alzheimer’s disease (AD) brain, we sought to assess miRNA dysregulation in AD brain tissue and to determine if these changes were reflected in neural EVs isolated from blood of subjects with AD. To this end, we employed high-content miRNA arrays to search for differences in miRNAs in RNA pools from brain tissue of AD (n = 5), high pathological control (HPC) (n = 5), or cognitively intact pathology-free controls (n = 5). Twelve miRNAs were altered by >1.5-fold in AD compared to controls, and six of these were also changed compared to HPCs. Analysis of hits in brain extracts from 11 AD, 7 HPCs and 9 controls revealed a similar fold difference in these six miRNAs, with three showing statistically significant group differences and one with a strong trend toward group differences. Thereafter, we focused on the four miRNAs that showed group differences and measured their content in neurally derived blood EVs isolated from 63 subjects: 16 patients with early stage dementia and a CSF Aβ42+ tau profile consistent with AD, 16 individuals with mild cognitive impairment (MCI) and an AD CSF profile, and 31 cognitively intact controls with normal CSF Aβ42+ tau levels. ROC analysis indicated that measurement of miR-132-3p in neurally-derived plasma EVs showed good sensitivity and specificity to diagnose AD, but did not effectively separate individuals with AD-MCI from controls. Moreover, when we measured the levels of a related miRNA, miR-212, we found that this miRNA was also decreased in neural EVs from AD patients compared to controls. Our results suggest that measurement of miR-132 and miR-212 in neural EVs should be further investigated as a diagnostic aid for AD and as a potential theragnostic.",153,NA,Journal,ar,Article,100,10,10,blood biomarker | extracellular vesicles | L1CAM | micro-RNA | mild cognitive impairment | qRT-PCR,21100199812,NIA,P30AG10161,National Institute on Aging,1,TRUE,all,All Open Access,72,1208,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85075813195,SCOPUS_ID:85075813195,2-s2.0-85075813195,Progress in the genetic analysis of Parkinson's disease,Singleton A.,Human Molecular Genetics,09646906,14602083,28,R2,R215-R218,2019-11-21,21 November 2019,10.1093/hmg/ddz183,"The pace of genetic discovery in complex disease has accelerated exponentially over the last decade. Our fund of knowledge of the foundational genetics in disease has never been as great. There is a clear path forward to the resolution of the genetic architecture toward a point at which we will saturate the biological understanding of disease through genetics. This understanding continues to provide fundamental insights into disease biology and, with the advent of new data and methodologies, the path from gene to function is becoming clearer and cleaner. In this opinion piece, we discuss progress in the genetics of Parkinson disease. We explore what genetics has revealed thus far in the context of disease biology. We highlight mitophagy/autophagy, dopamine metabolism and the adaptive immune system. We try and link these findings together to give a holistic view of pathogenesis with the underlying theme that disease pathogenesis relates to a failure of damage response pathways. In the 1990s, Parkinson's disease was regarded a non-genetic disorder. Since that time, however, a huge number of Mendelian loci and risk loci have been identified by positional cloning and by genome-wide association studies. In this review, it is not our intent to list each gene and locus and review their identification [Hernandez, D.G., Reed, X. and Singleton, A.B. (2016) Genetics in Parkinson disease: Mendelian versus non-Mendelian inheritance. J. Neurochem., 139 Suppl 1, 59-74] but rather to outline the pathogenetic mechanisms that these analyses are revealing and then, given the large number of loci already identified, to lay out what we hope future analyses may help us understand, both in terms of disease mechanisms and for risk prediction for the syndrome.",29,31518392,Journal,re,Review,100,2,2,NA,22266,NIH,10.13039/100004440 202903/Z/16/Z,National Institutes of Health,0,FALSE,all,All Open Access,73,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85075091903,SCOPUS_ID:85075091903,2-s2.0-85075091903,Genome-Wide Association Study of Apparent Treatment-Resistant Hypertension in the CHARGE Consortium: The CHARGE Pharmacogenetics Working Group,Irvin M.R.,American Journal of Hypertension,08957061,19417225,32,12,1146-1153,2019-11-15,15 November 2019,10.1093/ajh/hpz150,"BACKGROUND: Only a handful of genetic discovery efforts in apparent treatment-resistant hypertension (aTRH) have been described. METHODS: We conducted a case-control genome-wide association study of aTRH among persons treated for hypertension, using data from 10 cohorts of European ancestry (EA) and 5 cohorts of African ancestry (AA). Cases were treated with 3 different antihypertensive medication classes and had blood pressure (BP) above goal (systolic BP ≥ 140 mm Hg and/or diastolic BP ≥ 90 mm Hg) or 4 or more medication classes regardless of BP control (nEA = 931, nAA = 228). Both a normotensive control group and a treatment-responsive control group were considered in separate analyses. Normotensive controls were untreated (nEA = 14,210, nAA = 2,480) and had systolic BP/diastolic BP < 140/90 mm Hg. Treatment-responsive controls (nEA = 5,266, nAA = 1,817) had BP at goal (<140/90 mm Hg), while treated with one antihypertensive medication class. Individual cohorts used logistic regression with adjustment for age, sex, study site, and principal components for ancestry to examine the association of single-nucleotide polymorphisms with case-control status. Inverse variance-weighted fixed-effects meta-analyses were carried out using METAL. RESULTS: The known hypertension locus, CASZ1, was a top finding among EAs (P = 1.1 × 10-8) and in the race-combined analysis (P = 1.5 × 10-9) using the normotensive control group (rs12046278, odds ratio = 0.71 (95% confidence interval: 0.6-0.8)). Single-nucleotide polymorphisms in this locus were robustly replicated in the Million Veterans Program (MVP) study in consideration of a treatment-responsive control group. There were no statistically significant findings for the discovery analyses including treatment-responsive controls. CONCLUSION: This genomic discovery effort for aTRH identified CASZ1 as an aTRH risk locus.",17,31545351,Journal,ar,Article,100,44,44,blood pressure | genome-wide association study | hypertension | severe hypertension | treatment-resistant hypertension,22420,NICHD,HHSN268201800014I,National Institute of Child Health and Human Development,0,FALSE,all,All Open Access,74,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85071360389,SCOPUS_ID:85071360389,2-s2.0-85071360389,Integration of spatio-temporal dynamics in emotion-cognition interactions: A simultaneous fMRI-ERP investigation using the emotional oddball task,Moore M.,NeuroImage,10538119,10959572,202,NA,NA,2019-11-15,15 November 2019,10.1016/j.neuroimage.2019.116078,"Although a large corpus of evidence has identified brain regions and networks involved in emotion-cognition interactions, it remains unclear how spatial and temporal dynamics of the mechanisms by which emotion interfaces with cognition are integrated. Capitalizing on multi-modal brain imaging approaches, we used simultaneous functional magnetic resonance imaging (fMRI) and event-related potential (ERP) recordings, to investigate the link between spatial and temporal aspects of processing in an emotional oddball task, and in relation to personality measures reflecting basic affective responses and emotion control. First, fMRI captured expected dorso-ventral dissociations, with greater response to targets in regions of dorsal brain networks (e.g., dorsolateral prefrontal cortex) and to emotional distracters in regions of ventral networks (e.g., ventrolateral prefrontal cortex, vlPFC). Also, ERP responses to targets were associated with a prominent P300, and responses to distracters with the late positive potential (LPP). Second, providing evidence for spatio-temporal integration of brain signals, ERP-informed fMRI analyses showed a link between LPP amplitude at parietal electrodes and the fMRI signal in the vlPFC, to emotional distraction. Third, regarding the link to personality measures, increased emotional arousability and attentional impulsiveness was associated with greater LPP differences between negative distracters and targets and enhanced response to negative distracters in the amygdala, respectively. Furthermore, we identified opposing relations between responses to emotional distraction and individual scores for cognitive reappraisal and self-control impulsiveness in posterior vlPFC. This suggests a greater engagement of this region in participants with reduced tendencies to employ reappraisal as a coping strategy and those with reduced ability to control impulsive responses during emotional distraction. Together, supporting the feasibility of integrating multi-dimensional approaches to clarify neural mechanisms of emotion-cognition interactions, these results point to convergence and complementarity between measures that differentially capture spatio-temporal dynamics of brain activity, and their associations with measures of individual differences in affective responses and control.",14,31400532,Journal,ar,Article,100,5,5,Affect | Individual differences | Neuroimaging | Personality,17495,UofI,undefined,"Division of Orthopaedic Surgery, University of Alberta",0,FALSE,NA,NA,75,116078,S1053811919306664
true,https://api.elsevier.com/content/abstract/scopus_id/85073422268,SCOPUS_ID:85073422268,2-s2.0-85073422268,Role of a Kinesin Motor in Cancer Cell Mechanics,Mandal K.,Nano Letters,15306984,15306992,19,11,7691-7702,2019-11-13,13 November 2019,10.1021/acs.nanolett.9b02592,"Molecular motors play important roles in force generation, migration, and intracellular trafficking. Changes in specific motor activities are altered in numerous diseases. KIF20A, a motor protein of the kinesin-6 family, is overexpressed in bladder cancer, and KIF20A levels correlate negatively with clinical outcomes. We report here a new role for the KIF20A kinesin motor protein in intracellular mechanics. Using optical tweezers to probe intracellular mechanics and surface AFM to probe cortical mechanics, we first confirm that bladder urothelial cells soften with an increasing cancer grade. We then show that inhibiting KIF20A makes the intracellular environment softer for both high- and low-grade bladder cancer cells. Upon inhibition of KIF20A, cortical stiffness also decreases in lower grade cells, while it surprisingly increases in higher grade malignant cells. Changes in cortical stiffness correlate with the interaction of KIF20A with myosin IIA. Moreover, KIF20A inhibition negatively regulates bladder cancer cell motility irrespective of the underlying substrate stiffness. Our results reveal a central role for a microtubule motor in cell mechanics and migration in the context of bladder cancer.",37,31565944,Journal,ar,Article,100,10,10,AFM | bladder cancer | cell migration | KIF20A | microrheology | optical tweezers | power law,17853,NSF,PC201125,National Science Foundation,0,FALSE,all,All Open Access,76,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85075568391,SCOPUS_ID:85075568391,2-s2.0-85075568391,Assaying Homodimers of NF-κB in Live Single Cells,Martin E.W.,Frontiers in Immunology,NA,16643224,10,NA,NA,2019-11-07,7 November 2019,10.3389/fimmu.2019.02609,"NF-κB is a family of heterodimers and homodimers which are generated from subunits encoded by five genes. The predominant classical dimer RelA:p50 is presumed to operate as “NF-κB” in many contexts. However, there are several other dimer species which exist and may even be more functionally relevant in specific cell types. Accurate characterization of stimulus-specific and tissue-specific dimer repertoires is fundamentally important for understanding the downstream gene regulation by NF-κB proteins. In vitro assays such as immunoprecipitation have been widely used to analyze subunit composition, but these methods do not provide information about dimerization status within the natural intracellular environment of intact live cells. Here we apply a live single cell microscopy technique termed Number and Brightness to examine dimers translocating to the nucleus in fibroblasts after pro-inflammatory stimulation. This quantitative assay suggests that RelA:RelA homodimers are more prevalent than might be expected. We also found that the relative proportion of RelA:RelA homodimers can be perturbed by small molecule inhibitors known to disrupt the NF-κB pathway. Our findings show that Number and Brightness is a useful method for investigating NF-κB dimer species in live cells. This approach may help identify the relevant targets in pathophysiological contexts where the dimer specificity of NF-κB intervention is desired.",7,31787981,Journal,ar,Article,100,8,8,dimerization | microscopy | NF-κB | number and brightness | oligomerization | RelA | transcription factor,21100229161,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,77,2609,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074621506,SCOPUS_ID:85074621506,2-s2.0-85074621506,From the seminal discovery of proteoglycogen and glycogenin to emerging knowledge and research on glycogen biology,Curtino J.A.,Biochemical Journal,02646021,14708728,476,21,3109-3124,2019-11-05,5 November 2019,10.1042/BCJ20190441,"Although the discovery of glycogen in the liver, attributed to Claude Bernard, happened more than 160 years ago, the mechanism involved in the initiation of glucose polymerization remained unknown. The discovery of glycogenin at the core of glycogen’s structure and the initiation of its glucopolymerization is among one of the most exciting and relatively recent findings in Biochemistry. This review focuses on the initial steps leading to the seminal discoveries of proteoglycogen and glycogenin at the beginning of the 1980s, which paved the way for subsequent foundational breakthroughs that propelled forward this new research field. We also explore the current, as well as potential, impact this research field is having on human health and disease from the perspective of glycogen storage diseases. Important new questions arising from recent studies, their links to basic mechanisms involved in the de novo glycogen biogenesis, and the pervading presence of glycogenin across the evolutionary scale, fueled by high throughput -omics technologies, are also addressed.",6,31689353,Journal,re,Review,100,2,2,NA,16850,NIH,undefined,National Institutes of Health,0,FALSE,NA,NA,78,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074548934,SCOPUS_ID:85074548934,2-s2.0-85074548934,Genetic regulation of gene expression and splicing during a 10-year period of human aging,Balliu B.,Genome Biology,14747596,1474760X,20,1,NA,2019-11-04,4 November 2019,10.1186/s13059-019-1840-y,"Background: Molecular and cellular changes are intrinsic to aging and age-related diseases. Prior cross-sectional studies have investigated the combined effects of age and genetics on gene expression and alternative splicing; however, there has been no long-term, longitudinal characterization of these molecular changes, especially in older age. Results: We perform RNA sequencing in whole blood from the same individuals at ages 70 and 80 to quantify how gene expression, alternative splicing, and their genetic regulation are altered during this 10-year period of advanced aging at a population and individual level. We observe that individuals are more similar to their own expression profiles later in life than profiles of other individuals their own age. We identify 1291 and 294 genes differentially expressed and alternatively spliced with age, as well as 529 genes with outlying individual trajectories. Further, we observe a strong correlation of genetic effects on expression and splicing between the two ages, with a small subset of tested genes showing a reduction in genetic associations with expression and splicing in older age. Conclusions: These findings demonstrate that, although the transcriptome and its genetic regulation is mostly stable late in life, a small subset of genes is dynamic and is characterized by a reduction in genetic regulation, most likely due to increasing environmental variance with age.",34,31684996,Journal,ar,Article,100,18,18,Aging | Alternative splicing | Gene expression | Gene regulation | Longevity,40944,NHGRI,R01HG008150,National Human Genome Research Institute,1,TRUE,all,All Open Access,79,230,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85075187831,SCOPUS_ID:85075187831,2-s2.0-85075187831,Peripheral Vascular Disease in Women: Therapeutic Options in 2019,Saati A.,Current Treatment Options in Cardiovascular Medicine,10928464,15343189,21,11,NA,2019-11-01,1 November 2019,10.1007/s11936-019-0769-5,"Purpose of review: In recent years, there have been advances in the prevention, management, and control of peripheral vascular disease (PVD). There is a trend towards aggressive risk factor modification, noninvasive screening, and endovascular revascularization with surgical approaches reserved only for select cases. This article reviews the different management strategies ranging from pharmacotherapy, revascularization, and rehabilitation with an emphasis on the response of women to these therapies. Recent findings: Overall, the representation of women in the majority of the published data in this arena remains poor. Studies examining medical therapy and endovascular and surgical revascularization were not designed to address sex disparities. Nevertheless, we dissect these therapies and their relevant randomized trials. Summary: The paucity of data investigating the response of women to the different management options makes it difficult to make any evidence-based recommendations. This not only applies to the type of intervention, but also the appropriate timing and risks entailed.",4,NA,Journal,re,Review,100,5,5,Endovascular revascularization | Peripheral vascular disease | Surgery | Women,23154,NA,undefined,NA,1,TRUE,all,All Open Access,80,68,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85075114815,SCOPUS_ID:85075114815,2-s2.0-85075114815,"Advancing Nutrition Education, Training, and Research for Medical Students, Residents, Fellows, Attending Physicians, and Other Clinicians: Building Competencies and Interdisciplinary Coordination",Van Horn L.,Advances in Nutrition,21618313,21565376,10,6,1181S-1200S,2019-11-01,1 November 2019,10.1093/advances/nmz083,"Nutrition plays an important role in health promotion and disease prevention and treatment across the lifespan. Physicians and other healthcare professionals are expected to counsel patients about nutrition, but recent surveys report minimal to no improvements in medical nutrition education in US medical schools. A workshop sponsored by the National Heart, Lung, and Blood Institute addressed this gap in knowledge by convening experts in clinical and academic health professional schools. Representatives from the National Board of Medical Examiners, the Accreditation Council for Graduate Medical Education, the Liaison Committee on Medical Education, and the American Society for Nutrition provided relevant presentations. Reported is an overview of lessons learned from nutrition education efforts in medical schools and health professional schools including interprofessional domains and competency-based nutrition education. Proposed is a framework for coordinating activities of various entities using a public-private partnership platform. Recommendations for nutrition research and accreditation are provided.",76,31728505,Journal,ar,Article,100,32,32,academic nutrition medicine | culinary medicine | integrative nutrition | medical board nutrition questions | medical nutrition education | nutrition competencies | nutrition coordinating center,21100202730,NIH,P30DK056350,National Institutes of Health,1,TRUE,all,All Open Access,81,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074962350,SCOPUS_ID:85074962350,2-s2.0-85074962350,Cardiotonic Steroids Induce Vascular Fibrosis Via Pressure-Independent Mechanism in NaCl-Loaded Diabetic Rats,Fedorova O.V.,Journal of Cardiovascular Pharmacology,01602446,15334023,74,5,436-442,2019-11-01,1 November 2019,10.1097/FJC.0000000000000730,"Endogenous cardiotonic steroid, marinobufagenin (MBG), induces Fli1-dependent tissue fibrosis. We hypothesized that an increase in MBG initiates the development of aortic fibrosis in salt-loaded rats with type 2 diabetes mellitus (DM2) via pressure-independent mechanism. DM2 was induced by a single intraperitoneal administration of 65 mg/kg streptozotocin to neonatal (4-5 days) male Wistar rats. Eight-week-old DM2 rats received water or 1.8% NaCl (DM-NaCl) solution for 4 weeks (n = 16); half of DM-NaCl rats were treated with anti-MBG monoclonal antibody (mAb) (DM-NaCl-AB) during week 4 of salt loading; control intact rats received water (n = 8/group). Blood pressure, MBG, erythrocyte Na/K-ATPase activity, aortic weights, levels of fibrosis markers (Fli1, protein kinase Cδ, transforming growth factor-β1, receptors of the transforming growth factor beta5, fibronectin, collagen-1), and sensitivity of the aortic explants to the vasorelaxant effect of sodium nitroprusside were assessed. No changes in systolic blood pressure were observed while erythrocyte Na/K-ATPase was inhibited by 30%, plasma MBG was doubled, and aortic markers of fibrosis became elevated in DM-NaCl rats versus control. Treatment of DM-NaCl rats with anti-MBG mAb activated Na/K-ATPase, prevented increases in aortic weights, and the levels of fibrosis markers returned to the control levels. The responsiveness of the aortic rings from DM-NaCl rats to the relaxant effect of sodium nitroprusside was reduced (half maximal effective concentration (EC50) = 29 nmol/L) versus control rings (EC50 = 7 nmol/L) and was restored by anti-MBG mAb (EC50 = 9 nmol/L). Our results suggest that in salt-loaded diabetic rats, MBG stimulates aortic collagen synthesis in a pressure-independent fashion and that 2 profibrotic mechanisms, Fli1 dependent and transforming growth factor-β dependent, underlie its effects.",14,31415452,Journal,ar,Article,100,10,10,aorta | cellular signaling | diabetes mellitus | Fli1 | inhibitors | marinobufagenin | Na/K-ATPase | sodium chloride | streptozotocin | TGF-β | vascular stiffness,22981,NIA,ZIAAG000869,National Institute on Aging,0,FALSE,all,All Open Access,82,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074938737,SCOPUS_ID:85074938737,2-s2.0-85074938737,Empagliflozin and HFrEF: Known and Possible Benefits of NHE1 Inhibition,Jun S.,JACC: Basic to Translational Science,2452302X,NA,4,7,841-844,2019-11-01,November 2019,10.1016/j.jacbts.2019.10.005,NA,10,NA,Journal,ed,Editorial,100,3,3,cardiac redox balance | diabetes | empagliflozin | heart failure with reduced ejection fraction | mitochondrial energy metabolism | NHE1 | SGLT2,21100788288,NIH,R01 HL063030,National Institutes of Health,1,TRUE,all,All Open Access,83,NA,S2452302X19303110
true,https://api.elsevier.com/content/abstract/scopus_id/85074738763,SCOPUS_ID:85074738763,2-s2.0-85074738763,What are the threats to successful brain and cognitive aging?,Gallagher M.,Neurobiology of Aging,01974580,15581497,83,NA,130-134,2019-11-01,November 2019,10.1016/j.neurobiolaging.2019.04.016,"The structure and function of the brain change over the life span. Aged brains often accumulate pathologic lesions, such as amyloid plaques and tau tangles, which lead to diminished cognitive ability in some, but not all, individuals. The basis of this vulnerability and resilience is unclear. Age-related changes can alter neural firing patterns and ability to form new memories. Risk factors for cognitive decline include male sex and apolipoprotein E genotype. Physical activity seems to be protective against cognitive decline. Longitudinal studies have shown that, although the onset of amyloid pathology and associated cognitive decline can vary greatly, once it begins, the rate of deposition is similar among affected individuals. This session of the Cognitive Aging Summit III explored fixed and modifiable factors that can threaten cognitive function in aging adults and approaches to modulate at least some of these risks.",22,31732016,Journal,ar,Article,100,6,6,Compensation | Maintenance | Modifiable factors | Pathology | Reserve | Resilience,23985,NIH,K23 AG045957,National Institutes of Health,1,TRUE,all,All Open Access,84,NA,S0197458019301332
true,https://api.elsevier.com/content/abstract/scopus_id/85074737544,SCOPUS_ID:85074737544,2-s2.0-85074737544,The expectation breakers,Wagster M.V.,Neurobiology of Aging,01974580,15581497,83,NA,122-123,2019-11-01,November 2019,10.1016/j.neurobiolaging.2019.04.015,NA,2,31732014,Journal,ar,Article,100,2,2,NA,23985,NA,undefined,NA,0,FALSE,NA,NA,85,NA,S0197458019301290
true,https://api.elsevier.com/content/abstract/scopus_id/85074701482,SCOPUS_ID:85074701482,2-s2.0-85074701482,p53 mitotic centrosome localization preserves centrosome integrity and works as sensor for the mitotic surveillance pathway,Contadini C.,Cell Death and Disease,NA,20414889,10,11,NA,2019-11-01,1 November 2019,10.1038/s41419-019-2076-1,"Centrosomal p53 has been described for three decades but its role is still unclear. We previously reported that, in proliferating human cells, p53 transiently moves to centrosomes at each mitosis. Such p53 mitotic centrosome localization (p53-MCL) occurs independently from DNA damage but requires ATM-mediated p53Ser15 phosphorylation (p53Ser15P) on discrete cytoplasmic p53 foci that, through MT dynamics, move to centrosomes during the mitotic spindle formation. Here, we show that inhibition of p53-MCL, obtained by p53 depletion or selective impairment of p53 centrosomal localization, induces centrosome fragmentation in human nontransformed cells. In contrast, tumor cells or mouse cells tolerate p53 depletion, as expected, and p53-MCL inhibition. Such tumor- and species-specific behavior of centrosomal p53 resembles that of the recently identified sensor of centrosome-loss, whose activation triggers the mitotic surveillance pathway in human nontransformed cells but not in tumor cells or mouse cells. The mitotic surveillance pathway prevents the growth of human cells with increased chance of making mitotic errors and accumulating numeral chromosome defects. Thus, we evaluated whether p53-MCL could work as a centrosome-loss sensor and contribute to the activation of the mitotic surveillance pathway. We provide evidence that centrosome-loss triggered by PLK4 inhibition makes p53 orphan of its mitotic dock and promotes accumulation of discrete p53Ser15P foci. These p53 foci are required for the recruitment of 53BP1, a key effector of the mitotic surveillance pathway. Consistently, cells from patients with constitutive impairment of p53-MCL, such as ATM- and PCNT-mutant carriers, accumulate numeral chromosome defects. These findings indicate that, in nontransformed human cells, centrosomal p53 contributes to safeguard genome integrity by working as sensor for the mitotic surveillance pathway.",29,31699974,Journal,ar,Article,100,11,11,NA,19700201211,CNR,IG14592,Giovanni Armenise-Harvard Foundation,1,TRUE,all,All Open Access,86,850,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074548716,SCOPUS_ID:85074548716,2-s2.0-85074548716,"Roles of topoisomerases in heterochromatin, aging, and diseases",Lee S.K.,Genes,NA,20734425,10,11,NA,2019-11-01,November 2019,10.3390/genes10110884,"Heterochromatin is a transcriptionally repressive chromatin architecture that has a low abundance of genes but an enrichment of transposons. Defects in heterochromatin can cause the de-repression of genes and transposons, leading to deleterious physiological changes such as aging, cancer, and neurological disorders. While the roles of topoisomerases in many DNA-based processes have been investigated and reviewed, their roles in heterochromatin formation and function are only beginning to be understood. In this review, we discuss recent findings on how topoisomerases can promote heterochromatin organization and impact the transcription of genes and transposons. We will focus on two topoisomerases: Top2α, which catenates and decatenates double-stranded DNA, and Top3β, which can change the topology of not only DNA, but also RNA. Both enzymes are required for normal heterochromatin formation and function, as the inactivation of either protein by genetic mutations or chemical inhibitors can result in defective heterochromatin formation and the de-silencing of transposons. These defects may contribute to the shortened lifespan and neurological disorders observed in individuals carrying mutations of Top3β. We propose that topological stress may be generated in both DNA and RNA during heterochromatin formation and function, which depend on multiple topoisomerases to resolve.",14,31683993,Journal,re,Review,100,2,2,Aging | Disease | Heterochromatin | Top2 | Top3β | Topoisomerase | Transposon,19700188368,NIH,Z01AG000657,National Institutes of Health,1,TRUE,all,All Open Access,87,884,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074504758,SCOPUS_ID:85074504758,2-s2.0-85074504758,Age-Related Bias in Total Step Count Recorded by Wearable Devices - Reply,Lee I.M.,JAMA Internal Medicine,21686106,NA,179,11,1603,2019-11-01,November 2019,10.1001/jamainternmed.2019.4691,NA,0,31682700,Journal,le,Letter,100,2,2,NA,21100228546,NCI,UM1CA182913,National Cancer Institute,0,FALSE,NA,NA,88,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074489391,SCOPUS_ID:85074489391,2-s2.0-85074489391,Is 4400 Steps per Day the New 10000 Steps per Day? - Reply,Lee I.M.,JAMA Internal Medicine,21686106,NA,179,11,1602,2019-11-01,November 2019,10.1001/jamainternmed.2019.4701,NA,1,31682701,Journal,le,Letter,100,2,2,NA,21100228546,NCI,UM1CA182913,National Cancer Institute,0,FALSE,NA,NA,89,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074362319,SCOPUS_ID:85074362319,2-s2.0-85074362319,HDAC9 is implicated in atherosclerotic aortic calcification and affects vascular smooth muscle cell phenotype,Malhotra R.,Nature Genetics,10614036,15461718,51,11,1580-1587,2019-11-01,1 November 2019,10.1038/s41588-019-0514-8,"Aortic calcification is an important independent predictor of future cardiovascular events. We performed a genome-wide association meta-analysis to determine SNPs associated with the extent of abdominal aortic calcification (n = 9,417) or descending thoracic aortic calcification (n = 8,422). Two genetic loci, HDAC9 and RAP1GAP, were associated with abdominal aortic calcification at a genome-wide level (P < 5.0 × 10−8). No SNPs were associated with thoracic aortic calcification at the genome-wide threshold. Increased expression of HDAC9 in human aortic smooth muscle cells promoted calcification and reduced contractility, while inhibition of HDAC9 in human aortic smooth muscle cells inhibited calcification and enhanced cell contractility. In matrix Gla protein–deficient mice, a model of human vascular calcification, mice lacking HDAC9 had a 40% reduction in aortic calcification and improved survival. This translational genomic study identifies the first genetic risk locus associated with calcification of the abdominal aorta and describes a previously unknown role for HDAC9 in the development of vascular calcification.",110,31659325,Journal,le,Letter,100,50,50,NA,18990,NIH,M01-RR-07122,National Institutes of Health,0,FALSE,all,All Open Access,90,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074326814,SCOPUS_ID:85074326814,2-s2.0-85074326814,Proteomics: techniques and applications in neuroscience,Cookson M.,Journal of Neurochemistry,00223042,14714159,151,4,394-396,2019-11-01,1 November 2019,10.1111/jnc.14867,"This Preface introduces the articles of the special issue on ‘Proteomics’ where we survey these powerful techniques specifically in the context of applications in neurosciences. Proteomics as used here is a catch-all term for approaches where a broad survey of all protein content of a cell or tissue is performed in parallel. In the special issue, various experts outline applications as diverse as finding disease biomarkers in human samples, including living participants or post-mortem brain, as well as application of protein technologies to model systems such as animals and cells. Collectively, these articles outline the utility of current technologies for proteome interrogation and identify enhancements that will shape applications to future studies. (Figure presented.). This is the Preface for the special issue ""Proteomics"". Cover Image for this issue: doi: 10.1111/jnc.14530.",6,31625157,Journal,ed,Editorial,100,1,1,NA,17620,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,91,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85074320860,SCOPUS_ID:85074320860,2-s2.0-85074320860,"Genetic architecture of subcortical brain structures in 38,851 individuals",Satizabal C.L.,Nature Genetics,10614036,15461718,51,11,1624-1636,2019-11-01,1 November 2019,10.1038/s41588-019-0511-y,"Subcortical brain structures are integral to motion, consciousness, emotions and learning. We identified common genetic variation related to the volumes of the nucleus accumbens, amygdala, brainstem, caudate nucleus, globus pallidus, putamen and thalamus, using genome-wide association analyses in almost 40,000 individuals from CHARGE, ENIGMA and UK Biobank. We show that variability in subcortical volumes is heritable, and identify 48 significantly associated loci (40 novel at the time of analysis). Annotation of these loci by utilizing gene expression, methylation and neuropathological data identified 199 genes putatively implicated in neurodevelopment, synaptic signaling, axonal transport, apoptosis, inflammation/infection and susceptibility to neurological disorders. This set of genes is significantly enriched for Drosophila orthologs associated with neurodevelopmental phenotypes, suggesting evolutionarily conserved mechanisms. Our findings uncover novel biology and potential drug targets underlying brain development and disease.",179,31636452,Journal,ar,Article,100,289,100,NA,18990,FMCNA,UL1TR000153,Fresenius Medical Care North America,0,FALSE,all,All Open Access,92,NA,NA
