@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,authkeywords,fund-acr,fund-sponsor,article-number,pii
true,https://api.elsevier.com/content/abstract/scopus_id/85189156050,SCOPUS_ID:85189156050,2-s2.0-85189156050,Multiomics analysis to explore blood metabolite biomarkers in an Alzheimer’s Disease Neuroimaging Initiative cohort,Oka T.,Scientific Reports,NA,20452322,14,1,NA,2024-12-01,December 2024,10.1038/s41598-024-56837-1,"Alzheimer's disease (AD) is a neurodegenerative disease that commonly causes dementia. Identifying biomarkers for the early detection of AD is an emerging need, as brain dysfunction begins two decades before the onset of clinical symptoms. To this end, we reanalyzed untargeted metabolomic mass spectrometry data from 905 patients enrolled in the AD Neuroimaging Initiative (ADNI) cohort using MS-DIAL, with 1,304,633 spectra of 39,108 unique biomolecules. Metabolic profiles of 93 hydrophilic metabolites were determined. Additionally, we integrated targeted lipidomic data (4873 samples from 1524 patients) to explore candidate biomarkers for predicting progressive mild cognitive impairment (pMCI) in patients diagnosed with AD within two years using the baseline metabolome. Patients with lower ergothioneine levels had a 12% higher rate of AD progression with the significance of P = 0.012 (Wald test). Furthermore, an increase in ganglioside (GM3) and decrease in plasmalogen lipids, many of which are associated with apolipoprotein E polymorphism, were confirmed in AD patients, and the higher levels of lysophosphatidylcholine (18:1) and GM3 d18:1/20:0 showed 19% and 17% higher rates of AD progression, respectively (Wald test: P = 3.9 × 10–8 and 4.3 × 10–7). Palmitoleamide, oleamide, diacylglycerols, and ether lipids were also identified as significantly altered metabolites at baseline in patients with pMCI. The integrated analysis of metabolites and genomics data showed that combining information on metabolites and genotypes enhances the predictive performance of AD progression, suggesting that metabolomics is essential to complement genomic data. In conclusion, the reanalysis of multiomics data provides new insights to detect early development of AD pathology and to partially understand metabolic changes in age-related onset of AD.",4,38565541,Journal,ar,Article,100,298,100,21100200805,JP15dm0207001,1,TRUE,all,All Open Access,64,NA,TUAT,Tokyo University of Agriculture and Technology,6797,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85189041461,SCOPUS_ID:85189041461,2-s2.0-85189041461,Trajectories in depressive symptoms and midlife brain health,Dintica C.S.,Translational Psychiatry,NA,21583188,14,1,NA,2024-12-01,December 2024,10.1038/s41398-024-02883-2,"Depressive symptoms may either be a risk factor or prodromal to dementia. Investigating this association in midlife may help clarify the role of depression in cognitive aging. We aimed to identify trajectories in depressive symptoms in early to mid-life and related cognitive and brain outcomes in midlife. This study includes 3944 Black and White participants (ages 26−45 years at baseline) from the Coronary Artery Risk Development in Young Adults (CARDIA) study with 20 years of follow-up. Depressive symptoms were assessed using the Center for Epidemiological Studies Depression scale at five time points over 20 years. Growth mixture modeling (GMM) was used to identify depressive symptom trajectories. Participants completed a neuropsychological battery 20 years after baseline, including the Digit Symbol Substitution Test (DSST), Rey-Auditory Verbal Learning Test (RAVLT), Stroop Test, Montreal Cognitive Assessment (MoCA), and category and letter fluency tests. A sub-sample of participants (n = 662) underwent brain magnetic resonance imaging (MRI) to characterize gray matter volumes and white matter hyperintensities (WMHs). We identified four classes of depressive symptom trajectories: a “declining” class (n = 286, 7.3%) with initially high symptoms and subsequent decline, a class with consistently high symptoms (“steady high”; n = 264, 6.7%), a class with late increases in symptoms (“increasing”; n = 277, 7%), and a class with consistently low symptoms (“steady low”; n = 3117, 79.0%). The steady high and the increasing classes had poorer performance on all cognitive tests, while the declining class had poorer performance on the DSST, verbal fluency, and MoCA. Compared to the steady low symptom class, the steady high class had lower volumes in the entorhinal cortex (β: −180.80, 95% CI: −336.69 to −24.91) and the amygdala (β: −40.97, 95% CI: −74.09 to −7.85), the increasing class had more WMHs (β: 0.55, 95% CI: 0.22 to 0.89), and the declining class was not significantly different in any brain measures. Trajectories in depressive symptoms in young to mid-adulthood show distinct cognitive and brain phenotypes in midlife. Steady high depressive symptoms may represent a group that is at risk for dementia, whereas increasing symptoms in midlife may be associated with white matter damage.",1,38553474,Journal,ar,Article,100,5,5,19900191866,R01 AG063887,1,TRUE,all,All Open Access,65,NA,NHLBI,"National Heart, Lung, and Blood Institute",169,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85188959621,SCOPUS_ID:85188959621,2-s2.0-85188959621,Characterization of tumor evolution by functional clonality and phylogenetics in hepatocellular carcinoma,Kacar Z.,Communications Biology,NA,23993642,7,1,NA,2024-12-01,December 2024,10.1038/s42003-024-06040-9,"Hepatocellular carcinoma (HCC) is a molecularly heterogeneous solid malignancy, and its fitness may be shaped by how its tumor cells evolve. However, ability to monitor tumor cell evolution is hampered by the presence of numerous passenger mutations that do not provide any biological consequences. Here we develop a strategy to determine the tumor clonality of three independent HCC cohorts of 524 patients with diverse etiologies and race/ethnicity by utilizing somatic mutations in cancer driver genes. We identify two main types of tumor evolution, i.e., linear, and non-linear models where non-linear type could be further divided into classes, which we call shallow branching and deep branching. We find that linear evolving HCC is less aggressive than other types. GTF2IRD2B mutations are enriched in HCC with linear evolution, while TP53 mutations are the most frequent genetic alterations in HCC with non-linear models. Furthermore, we observe significant B cell enrichment in linear trees compared to non-linear trees suggesting the need for further research to uncover potential variations in immune cell types within genomically determined phylogeny types. These results hint at the possibility that tumor cells and their microenvironment may collectively influence the tumor evolution process.",3,38553628,Journal,ar,Article,100,21,21,21100924827,undefined,1,TRUE,all,All Open Access,66,NA,NIH,National Institutes of Health,383,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85188908756,SCOPUS_ID:85188908756,2-s2.0-85188908756,HDGFL2 cryptic proteins report presence of TDP-43 pathology in neurodegenerative diseases,Calliari A.,Molecular Neurodegeneration,NA,17501326,19,1,NA,2024-12-01,December 2024,10.1186/s13024-024-00718-8,This letter demonstrates the potential of novel cryptic proteins resulting from TAR DNA-binding protein 43 (TDP-43) dysfunction as markers of TDP-43 pathology in neurodegenerative diseases.,8,38539264,Journal,le,Letter,100,25,25,5700191214,R01AG037491,1,TRUE,all,All Open Access,67,NA,NIH,GE Healthcare,29,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85188429854,SCOPUS_ID:85188429854,2-s2.0-85188429854,Plasma p-tau212 antemortem diagnostic performance and prediction of autopsy verification of Alzheimer’s disease neuropathology,Kac P.R.,Nature Communications,NA,20411723,15,1,NA,2024-12-01,December 2024,10.1038/s41467-024-46876-7,"Blood phosphorylated tau (p-tau) biomarkers, including p-tau217, show high associations with Alzheimer’s disease (AD) neuropathologic change and clinical stage. Certain plasma p-tau217 assays recognize tau forms phosphorylated additionally at threonine-212, but the contribution of p-tau212 alone to AD is unknown. We developed a blood-based immunoassay that is specific to p-tau212 without cross-reactivity to p-tau217. Here, we examined the diagnostic utility of plasma p-tau212. In five cohorts (n = 388 participants), plasma p-tau212 showed high performances for AD diagnosis and for the detection of both amyloid and tau pathology, including at autopsy as well as in memory clinic populations. The diagnostic accuracy and fold changes of plasma p-tau212 were similar to those for p-tau217 but higher than p-tau181 and p-tau231. Immunofluorescent staining of brain tissue slices showed prominent p-tau212 reactivity in neurofibrillary tangles that co-localized with p-tau217 and p-tau202/205. These findings support plasma p-tau212 as a peripherally accessible biomarker of AD pathophysiology.",18,38521766,Journal,ar,Article,100,33,33,19700182758,JPND2021-00694,1,TRUE,all,All Open Access,68,NA,AA,Alzheimer's Association,2615,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85188304061,SCOPUS_ID:85188304061,2-s2.0-85188304061,Relationship of psychotropic medication use with physical function among postmenopausal women,Beydoun H.A.,GeroScience,25092715,25092723,46,6,5797-5817,2024-12-01,December 2024,10.1007/s11357-024-01141-z,"To examine cross-sectional and longitudinal relationships of psychotropic medications with physical function after menopause. Analyses involved 4557 Women’s Health Initiative Long Life Study (WHI-LLS) participants (mean age at WHI enrollment (1993–1998): 62.8 years). Antidepressant, anxiolytic, and sedative/hypnotic medications were evaluated at WHI enrollment and 3-year follow-up visits. Performance-based physical function [Short Physical Performance Battery (SPPB)] was assessed at the 2012–2013 WHI-LLS visit. Self-reported physical function [RAND-36] was examined at WHI enrollment and the last available follow-up visit—an average of 22 [±2.8] (range: 12–27) years post-enrollment. Multivariable regression models controlled for socio-demographic, lifestyle, and health characteristics. Anxiolytics were not related to physical function. At WHI enrollment, antidepressant use was cross-sectionally related to worse self-reported physical function defined as a continuous (β = −6.27, 95% confidence interval [CI]: −8.48, −4.07) or as a categorical (< 78 vs. ≥ 78) (odds ratio [OR] = 2.10, 95% CI: 1.48, 2.98) outcome. Antidepressant use at WHI enrollment was also associated with worse performance-based physical function (SPPB) [< 10 vs. ≥ 10] (OR = 1.53, 95% CI: 1.05, 2.21) at the 2012–2013 WHI-LLS visit. Compared to non-users, those using sedative/hypnotics at WHI enrollment but not at the 3-year follow-up visit reported a faster decline in physical function between WHI enrollment and follow-up visits. Among postmenopausal women, antidepressant use was cross-sectionally related to worse self-reported physical function, and with worse performance-based physical function after > 20 years of follow-up. Complex relationships found for hypnotic/sedatives were unexpected and necessitate further investigation.",2,38517642,Journal,ar,Article,100,6,6,21100805354,75N92021D00004,1,TRUE,all,All Open Access,69,Antidepressant | Anxiolytic | Hypnotic | Physical function | Psychotropic | Sedative,NHLBI,"National Heart, Lung, and Blood Institute",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85188232237,SCOPUS_ID:85188232237,2-s2.0-85188232237,Depressive symptoms and antidepressant use in relation to white blood cell count among postmenopausal women from the Women’s Health Initiative,Beydoun H.A.,Translational Psychiatry,NA,21583188,14,1,NA,2024-12-01,December 2024,10.1038/s41398-024-02872-5,"Inflammation can play a role in the pathophysiology of depression, and specific types of antidepressants may have inflammatory or anti-inflammatory properties. Furthermore, depression and antidepressant use has been linked to white blood cell (WBC) count, a routinely measured inflammatory marker. We examined the cross-sectional and longitudinal relationships of depressive symptoms and/or antidepressant use with WBC count among postmenopausal women. Analyses of cross-sectional data at enrollment were performed on 125,307 participants, 50–79 years of age, from the Women’s Health Initiative Clinical Trials and Observational Studies who met eligibility criteria, and a subset of those with 3-year follow-up data were examined for longitudinal relationships. Depressive symptoms were defined using the Burnam Algorithm whereas antidepressant use was defined using therapeutic class codes. WBC count (Kcell/ml) was obtained through laboratory evaluations of fasting blood samples. Multivariable regression modeling was performed taking sociodemographic, lifestyle and health characteristics into consideration. At enrollment, nearly 85% were non-users of antidepressants with no depressive symptoms, 5% were antidepressant users with no depressive symptoms, 9% were non-users of antidepressants with depressive symptoms, and 2% were users of antidepressants with depressive symptoms. In fully-adjusted models, cross-sectional relationships were observed whereby women in the 2nd (OR = 1.06, 95% CI: 1.01, 1.13), 3rd (OR = 1.06, 95% CI: 1.00, 1.12) or 4th (OR = 1.10, 95% CI: 1.05, 1.17) quartiles of WBC count were more likely to exhibit depressive symptoms, and women in the 4th quartile were more likely to be users of antidepressants (OR = 1.07, 95% CI: 1.00, 1.15), compared to women in the 1st quartile. Compared to women who exhibited no depressive symptoms at either visit, those with consistent depressive symptoms at enrollment and at 3-year follow-up had faster decline in WBC count (β = −0.73, 95% CI: −1.33, −0.14) over time. No significant bidirectional relationships were observed between changes in depressive symptoms score and WBC count over time. In conclusion, depressive symptoms and/or antidepressant use were cross-sectionally related to higher WBC counts among postmenopausal women. Further evaluation of observed relationships is needed in the context of prospective cohort studies involving older adult men and women, with repeated measures of depression, antidepressant use, and WBC count.",3,38514652,Journal,ar,Article,100,9,9,19900191866,75N92021D00002,1,TRUE,all,All Open Access,70,NA,NIH,National Institutes of Health,157,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85187123751,SCOPUS_ID:85187123751,2-s2.0-85187123751,microRNA-33 controls hunger signaling in hypothalamic AgRP neurons,Price N.L.,Nature Communications,NA,20411723,15,1,NA,2024-12-01,December 2024,10.1038/s41467-024-46427-0,"AgRP neurons drive hunger, and excessive nutrient intake is the primary driver of obesity and associated metabolic disorders. While many factors impacting central regulation of feeding behavior have been established, the role of microRNAs in this process is poorly understood. Utilizing unique mouse models, we demonstrate that miR-33 plays a critical role in the regulation of AgRP neurons, and that loss of miR-33 leads to increased feeding, obesity, and metabolic dysfunction in mice. These effects include the regulation of multiple miR-33 target genes involved in mitochondrial biogenesis and fatty acid metabolism. Our findings elucidate a key regulatory pathway regulated by a non-coding RNA that impacts hunger by controlling multiple bioenergetic processes associated with the activation of AgRP neurons, providing alternative therapeutic approaches to modulate feeding behavior and associated metabolic diseases.",15,38459068,Journal,ar,Article,100,10,10,19700182758,DK045735,1,TRUE,all,All Open Access,71,NA,MCIN,Ministerio de Ciencia e Innovación,2131,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85186846168,SCOPUS_ID:85186846168,2-s2.0-85186846168,QTL mapping of human retina DNA methylation identifies 87 gene-epigenome interactions in age-related macular degeneration,Advani J.,Nature Communications,NA,20411723,15,1,NA,2024-12-01,December 2024,10.1038/s41467-024-46063-8,"DNA methylation provides a crucial epigenetic mark linking genetic variations to environmental influence. We have analyzed array-based DNA methylation profiles of 160 human retinas with co-measured RNA-seq and >8 million genetic variants, uncovering sites of genetic regulation in cis (37,453 methylation quantitative trait loci and 12,505 expression quantitative trait loci) and 13,747 DNA methylation loci affecting gene expression, with over one-third specific to the retina. Methylation and expression quantitative trait loci show non-random distribution and enrichment of biological processes related to synapse, mitochondria, and catabolism. Summary data-based Mendelian randomization and colocalization analyses identify 87 target genes where methylation and gene-expression changes likely mediate the genotype effect on age-related macular degeneration. Integrated pathway analysis reveals epigenetic regulation of immune response and metabolism including the glutathione pathway and glycolysis. Our study thus defines key roles of genetic variations driving methylation changes, prioritizes epigenetic control of gene expression, and suggests frameworks for regulation of macular degeneration pathology by genotype–environment interaction in retina.",12,38438351,Journal,ar,Article,100,17,17,19700182758,P30 EY014104,1,TRUE,all,All Open Access,72,NA,NIH,National Institutes of Health,1972,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85185685644,SCOPUS_ID:85185685644,2-s2.0-85185685644,Genetic analysis of the X chromosome in people with Lewy body dementia nominates new risk loci,Bayram E.,npj Parkinson's Disease,NA,23738057,10,1,NA,2024-12-01,December 2024,10.1038/s41531-024-00649-7,"Sex influences the prevalence and symptoms of Lewy body dementia (LBD). However, genome-wide association studies typically focus on autosomal variants and exclude sex-specific risk factors. We addressed this gap by performing an X chromosome-wide association study using whole-genome sequence data from 2591 LBD cases and 4391 controls. We identified a significant risk locus within intron 1 of MAP3K15 (rs141773145, odds ratio = 2.42, 95% confidence interval = 1.65–3.56, p-value = 7.0 × 10−6) in female LBD cases conditioned for APOE ε4 dosage. The locus includes an enhancer region that regulates MAP3K15 expression in ganglionic eminence cells derived from primary cultured neurospheres. Rare variant burden testing showed differential enrichment of missense mutations in TEX13A in female LBD cases, that did not reach significance (p-value = 1.34 × 10−4). These findings support the sex-specific effects of genetic factors and a potential role of Alzheimer’s-related risk for females with LBD.",1,NA,Journal,ar,Article,100,9,9,21100982311,1ZIAAG000935,1,TRUE,all,All Open Access,73,NA,NIH,National Institutes of Health,39,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85185672409,SCOPUS_ID:85185672409,2-s2.0-85185672409,Deep phenotyping of post-infectious myalgic encephalomyelitis/chronic fatigue syndrome,Walitt B.,Nature Communications,NA,20411723,15,1,NA,2024-12-01,December 2024,10.1038/s41467-024-45107-3,"Post-infectious myalgic encephalomyelitis/chronic fatigue syndrome (PI-ME/CFS) is a disabling disorder, yet the clinical phenotype is poorly defined, the pathophysiology is unknown, and no disease-modifying treatments are available. We used rigorous criteria to recruit PI-ME/CFS participants with matched controls to conduct deep phenotyping. Among the many physical and cognitive complaints, one defining feature of PI-ME/CFS was an alteration of effort preference, rather than physical or central fatigue, due to dysfunction of integrative brain regions potentially associated with central catechol pathway dysregulation, with consequences on autonomic functioning and physical conditioning. Immune profiling suggested chronic antigenic stimulation with increase in naïve and decrease in switched memory B-cells. Alterations in gene expression profiles of peripheral blood mononuclear cells and metabolic pathways were consistent with cellular phenotypic studies and demonstrated differences according to sex. Together these clinical abnormalities and biomarker differences provide unique insight into the underlying pathophysiology of PI-ME/CFS, which may guide future intervention.",49,38383456,Journal,ar,Article,100,70,70,19700182758,ZIA DK071014,1,TRUE,all,All Open Access,74,NA,NIH,National Institutes of Health,907,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85185141450,SCOPUS_ID:85185141450,2-s2.0-85185141450,Relative synonymous codon usage and codon pair analysis of depression associated genes,Khandia R.,Scientific Reports,NA,20452322,14,1,NA,2024-12-01,December 2024,10.1038/s41598-024-51909-8,"Depression negatively impacts mood, behavior, and mental and physical health. It is the third leading cause of suicides worldwide and leads to decreased quality of life. We examined 18 genes available at the genetic testing registry (GTR) from the National Center for Biotechnological Information to investigate molecular patterns present in depression-associated genes. Different genotypes and differential expression of the genes are responsible for ensuing depression. The present study, investigated codon pattern analysis, which might play imperative roles in modulating gene expression of depression-associated genes. Of the 18 genes, seven and two genes tended to up- and down-regulate, respectively, and, for the remaining genes, different genotypes, an outcome of SNPs were responsible alone or in combination with differential expression for different conditions associated with depression. Codon context analysis revealed the abundance of identical GTG-GTG and CTG-CTG pairs, and the rarity of methionine-initiated codon pairs. Information based on codon usage, preferred codons, rare, and codon context might be used in constructing a deliverable synthetic construct to correct the gene expression level of the human body, which is altered in the depressive state. Other molecular signatures also revealed the role of evolutionary forces in shaping codon usage.",6,38346990,Journal,ar,Article,100,4,4,21100200805,AG000311,1,TRUE,all,All Open Access,75,NA,NIH,National Institutes of Health,3502,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85184789159,SCOPUS_ID:85184789159,2-s2.0-85184789159,Characteristics of discordance between amyloid positron emission tomography and plasma amyloid-β 42/40 positivity,Pyun J.M.,Translational Psychiatry,NA,21583188,14,1,NA,2024-12-01,December 2024,10.1038/s41398-024-02766-6,"Various plasma biomarkers for amyloid-β (Aβ) have shown high predictability of amyloid PET positivity. However, the characteristics of discordance between amyloid PET and plasma Aβ42/40 positivity are poorly understood. Thorough interpretation of discordant cases is vital as Aβ plasma biomarker is imminent to integrate into clinical guidelines. We aimed to determine the characteristics of discordant groups between amyloid PET and plasma Aβ42/40 positivity, and inter-assays variability depending on plasma assays. We compared tau burden measured by PET, brain volume assessed by MRI, cross-sectional cognitive function, longitudinal cognitive decline and polygenic risk score (PRS) between PET/plasma groups (PET−/plasma−, PET−/plasma+, PET+/plasma−, PET+/plasma+) using Alzheimer’s Disease Neuroimaging Initiative database. Additionally, we investigated inter-assays variability between immunoprecipitation followed by mass spectrometry method developed at Washington University (IP-MS-WashU) and Elecsys immunoassay from Roche (IA-Elc). PET+/plasma+ was significantly associated with higher tau burden assessed by PET in entorhinal, Braak III/IV, and Braak V/VI regions, and with decreased volume of hippocampal and precuneus regions compared to PET−/plasma-. PET+/plasma+ showed poor performances in global cognition, memory, executive and daily-life function, and rapid cognitive decline. PET+/plasma+ was related to high PRS. The PET−/plasma+ showed intermediate changes between PET−/plasma− and PET+/plasma+ in terms of tau burden, hippocampal and precuneus volume, cross-sectional and longitudinal cognition, and PRS. PET+/plasma− represented heterogeneous characteristics with most prominent variability depending on plasma assays. Moreover, IP-MS-WashU showed more linear association between amyloid PET standardized uptake value ratio and plasma Aβ42/40 than IA-Elc. IA-Elc showed more plasma Aβ42/40 positivity in the amyloid PET-negative stage than IP-MS-WashU. Characteristics of PET−/plasma+ support plasma biomarkers as early biomarker of amyloidopathy prior to amyloid PET. Various plasma biomarker assays might be applied distinctively to detect different target subjects or disease stages.",0,38341444,Journal,ar,Article,100,83,83,19900191866,U01 AG024904,1,TRUE,all,All Open Access,76,NA,NCIRE,Northern California Institute for Research and Education,88,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85184394438,SCOPUS_ID:85184394438,2-s2.0-85184394438,Short-term periodic restricted feeding elicits metabolome-microbiome signatures with sex dimorphic persistence in primate intervention,Yanai H.,Nature Communications,NA,20411723,15,1,NA,2024-12-01,December 2024,10.1038/s41467-024-45359-z,"Dietary restriction has shown benefits in physiological, metabolic, and molecular signatures associated with aging but is a difficult lifestyle to maintain for most individuals. In mice, a less restrictive diet that allows for cyclical periods of reduced calories mitigates aging phenotypes, yet the effects of such an intervention in a genetically heterogenous, higher-order mammal has not been examined. Here, using middle-aged rhesus macaques matched for age and sex, we show that a regimen of 4 days of low-calorie intake followed by 10 days of ad libitum feeding (4:10 diet) performed in repeating cycles over 12 weeks led to significant loss of weight and fat percentage, despite the free access to food for most of the study duration. We show the 4-day restriction period is sufficient to drive alterations to the serum metabolome characterized by substantial differences in lipid classes. These phenotypes were paralleled by changes in the gut microbiome of restricted monkeys that highlight the involvement of a microbiome-metabolome axis. This regimen shows promising phenotypes, with some sex-dimorphic responses, including residual memory of the diet. As many calorie restriction interventions are difficult to sustain, we propose that this short-term diet may be easier to adhere to and have benefits directly relevant to human aging.",3,38316796,Journal,ar,Article,100,12,12,19700182758,2018-T1/BMD-11966,1,TRUE,all,All Open Access,77,NA,NIA,National Institute on Aging,1088,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85183819041,SCOPUS_ID:85183819041,2-s2.0-85183819041,"Exploring the links of skeletal muscle mitochondrial oxidative capacity, physical functionality, and mental well-being of cancer survivors",Gonsalves S.G.,Scientific Reports,NA,20452322,14,1,NA,2024-12-01,December 2024,10.1038/s41598-024-52570-x,"Physical impairments following cancer treatment have been linked with the toxic effects of these treatments on muscle mass and strength, through their deleterious effects on skeletal muscle mitochondrial oxidative capacity. Accordingly, we designed the present study to explore relationships of skeletal muscle mitochondrial oxidative capacity with physical performance and perceived cancer-related psychosocial experiences of cancer survivors. We assessed skeletal muscle mitochondrial oxidative capacity using in vivo phosphorus-31 magnetic resonance spectroscopy (31P MRS), measuring the postexercise phosphocreatine resynthesis time constant, τPCr, in 11 post-chemotherapy participants aged 34–70 years. During the MRS procedure, participants performed rapid ballistic knee extension exercise to deplete phosphocreatine (PCr); hence, measuring the primary study outcome, which was the recovery rate of PCr (τPCr). Patient-reported outcomes of psychosocial symptoms and well-being were assessed using the Patient-Reported Outcomes Measurement Information System and the 36-Item Short Form health survey (SF-36). Rapid bioenergetic recovery, reflected through a smaller value of τPCr was associated with worse depression (rho ρ = − 0.69, p = 0.018, and Cohen’s d = − 1.104), anxiety (ρ = − 0.61, p =.046, d = − 0.677), and overall mental health (ρ = 0.74, p = 0.010, d = 2.198) scores, but better resilience (ρ = 0.65, p = 0.029), and coping-self efficacy (ρ = 0.63, p = 0.04) scores. This is the first study to link skeletal muscle mitochondrial oxidative capacity with subjective reports of cancer-related behavioral toxicities. Further investigations are warranted to confirm these findings probing into the role of disease status and personal attributes in these preliminary results.",2,38302539,Journal,ar,Article,100,13,13,21100200805,undefined,1,TRUE,all,All Open Access,78,NA,NIH,National Institutes of Health,2669,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85183777430,SCOPUS_ID:85183777430,2-s2.0-85183777430,Multi-trait analysis characterizes the genetics of thyroid function and identifies causal associations with clinical implications,Sterenborg R.B.T.M.,Nature Communications,NA,20411723,15,1,NA,2024-12-01,December 2024,10.1038/s41467-024-44701-9,"To date only a fraction of the genetic footprint of thyroid function has been clarified. We report a genome-wide association study meta-analysis of thyroid function in up to 271,040 individuals of European ancestry, including reference range thyrotropin (TSH), free thyroxine (FT4), free and total triiodothyronine (T3), proxies for metabolism (T3/FT4 ratio) as well as dichotomized high and low TSH levels. We revealed 259 independent significant associations for TSH (61% novel), 85 for FT4 (67% novel), and 62 novel signals for the T3 related traits. The loci explained 14.1%, 6.0%, 9.5% and 1.1% of the total variation in TSH, FT4, total T3 and free T3 concentrations, respectively. Genetic correlations indicate that TSH associated loci reflect the thyroid function determined by free T3, whereas the FT4 associations represent the thyroid hormone metabolism. Polygenic risk score and Mendelian randomization analyses showed the effects of genetically determined variation in thyroid function on various clinical outcomes, including cardiovascular risk factors and diseases, autoimmune diseases, and cancer. In conclusion, our results improve the understanding of thyroid hormone physiology and highlight the pleiotropic effects of thyroid function on various diseases.",31,38291025,Journal,ar,Article,100,141,100,19700182758,53723,1,TRUE,all,All Open Access,79,NA,EUR,Erasmus Universiteit Rotterdam,888,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85182849820,SCOPUS_ID:85182849820,2-s2.0-85182849820,Racism as a public health issue in environmental health disparities and environmental justice: working toward solutions,Beard S.,Environmental Health: A Global Access Science Source,NA,1476069X,23,1,NA,2024-12-01,December 2024,10.1186/s12940-024-01052-8,"Background: Environmental health research in the US has shown that racial and ethnic minorities and members of low-socioeconomic groups, are disproportionately burdened by harmful environmental exposures, in their homes, workplace, and neighborhood environments that impact their overall health and well-being. Systemic racism is a fundamental cause of these disproportionate exposures and associated health effects. To invigorate and inform current efforts on environmental justice and to raise awareness of environmental racism, the National Institute of Environmental Health Sciences (NIEHS) hosted a workshop where community leaders, academic researchers, and NIEHS staff shared perspectives and discussed ways to inform future work to address health disparities. Objectives: To share best practices learned and experienced in partnerships between academic researchers and communities that are addressing environmental racism across the US; and to outline critical needs and future actions for NIEHS, other federal agencies, and anyone who is interested in conducting or funding research that addresses environmental racism and advances health equity for all communities. Discussion: Through this workshop with community leaders and researchers funded by NIEHS, we learned that partnerships between academics and communities hold great promise for addressing environmental racism; however, there are still profound obstacles. To overcome these barriers, translation of research into plain language and health-protective interventions is needed. Structural changes are also needed in current funding mechanisms and training programs across federal agencies. We also learned the importance of leveraging advances in technology to develop creative solutions that can protect public health.",6,38254105,Journal,le,Letter,100,19,19,145480,undefined,1,TRUE,all,All Open Access,80,Environmental health disparities | Environmental justice | Solutions | Systemic racism | Toxic exposures,NIEHS,National Institute of Environmental Health Sciences,8,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85182824159,SCOPUS_ID:85182824159,2-s2.0-85182824159,Human whole-exome genotype data for Alzheimer’s disease,Leung Y.Y.,Nature Communications,NA,20411723,15,1,NA,2024-12-01,December 2024,10.1038/s41467-024-44781-7,"The heterogeneity of the whole-exome sequencing (WES) data generation methods present a challenge to a joint analysis. Here we present a bioinformatics strategy for joint-calling 20,504 WES samples collected across nine studies and sequenced using ten capture kits in fourteen sequencing centers in the Alzheimer’s Disease Sequencing Project. The joint-genotype called variant-called format (VCF) file contains only positions within the union of capture kits. The VCF was then processed specifically to account for the batch effects arising from the use of different capture kits from different studies. We identified 8.2 million autosomal variants. 96.82% of the variants are high-quality, and are located in 28,579 Ensembl transcripts. 41% of the variants are intronic and 1.8% of the variants are with CADD > 30, indicating they are of high predicted pathogenicity. Here we show our new strategy can generate high-quality data from processing these diversely generated WES samples. The improved ability to combine data sequenced in different batches benefits the whole genomics research community.",0,38263370,Journal,ar,Article,100,141,100,19700182758,U24-AG041689,1,TRUE,all,All Open Access,81,NA,NIA,National Institute on Aging,684,NA
