@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:issueIdentifier,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,article-number,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,prism:issn,prism:pageRange,pubmed-id,authkeywords,pii
true,https://api.elsevier.com/content/abstract/scopus_id/85135730221,SCOPUS_ID:85135730221,2-s2.0-85135730221,Sex-specific transcriptome differences in a middle-aged frailty cohort,Pacheco N.L.,BMC Geriatrics,14712318,22,1,2022-12-01,December 2022,10.1186/s12877-022-03326-7,"Background: Frailty is a clinical syndrome described as reduced physiological reserve and increased vulnerability. Typically examined in older adults, recent work shows frailty occurs in middle-aged individuals and is associated with increased mortality. Previous investigation of global transcriptome changes in a middle-aged cohort from the Healthy Aging in Neighborhoods of Diversity across the Life Span (HANDLS) study demonstrated inflammatory genes and pathways were significantly altered by frailty status and race. Transcriptome differences in frailty by sex remain unclear. We sought to discover novel genes and pathways associated with sex and frailty in a diverse middle-aged cohort using RNA-Sequencing. Methods: Differential gene expression and pathway analyses were performed in peripheral blood mononuclear cells for 1) frail females (FRAF, n = 4) vs non-frail females (NORF, n = 4), 2) frail males (FRAM, n = 4) vs non-frail males (NORM, n = 4), 3) FRAM vs FRAF, and 4) NORM vs NORF. We evaluated exclusive significant genes and pathways, as well as overlaps, between the comparison groups. Results: Over 80% of the significant genes exclusive to FRAF vs NORF, FRAM vs NORM, and FRAM vs FRAF, respectively, were novel and associated with various biological functions. Pathways exclusive to FRAF vs NORF were associated with reduced inflammation, while FRAM vs NORM exclusive pathways were related to aberrant musculoskeletal physiology. Pathways exclusive to FRAM vs FRAF were associated with reduced cell cycle regulation and activated catabolism and Coronavirus pathogenesis. Conclusions: Our results indicate sex-specific transcriptional changes occur in middle-aged frailty, enhancing knowledge on frailty progression and potential therapeutic targets to prevent frailty.",9,Journal,ar,Article,100,9,9,651,28558,NIH,AG 000519,National Institutes of Health,1,TRUE,all,All Open Access,57,NA,NA,35945487,Aging | Gene expression | Inflammation | Midlife | Musculoskeletal,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85135346480,SCOPUS_ID:85135346480,2-s2.0-85135346480,Putting participants and study partners FIRST when clinical trials end early,Largent E.A.,Alzheimer's and Dementia,15525279,18,12,2022-12-01,December 2022,10.1002/alz.12732,"Between 2018 and 2019, multiple clinical trials ended earlier than planned, resulting in calls to improve communication with and support for participants and their study partners (“dyads”). The multidisciplinary Participant Follow-Up Improvement in Research Studies and Trials (Participant FIRST) Work Group met throughout 2021. Its goals were to identify best practices for communicating with and supporting dyads affected by early trial stoppage. The Participant FIRST Work Group identified 17 key recommendations spanning the pre-trial, mid-trial, and post-trial periods. These focus on prospectively allocating sufficient resources for orderly closeout; developing dyad-centered communication plans; helping dyads build and maintain support networks; and, if a trial stops, informing dyads rapidly. Participants and study partners invest time, effort, and hope in their research participation. The research community should take intentional steps toward better communicating with and supporting participants when clinical trials end early. The Participant FIRST recommendations are a practical guide for embarking on that journey.",9,Journal,ar,Article,100,19,19,NA,3600148102,NIH,R01AG045058,National Institutes of Health,1,TRUE,all,All Open Access,58,15525260,2736-2746,35917209,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85135216500,SCOPUS_ID:85135216500,2-s2.0-85135216500,Disentangled Representation Learning for OCTA Vessel Segmentation With Limited Training Data,Liu Y.,IEEE Transactions on Medical Imaging,1558254X,41,12,2022-12-01,1 December 2022,10.1109/TMI.2022.3193029,"Optical coherence tomography angiography (OCTA) is an imaging modality that can be used for analyzing retinal vasculature. Quantitative assessment of en face OCTA images requires accurate segmentation of the capillaries. Using deep learning approaches for this task faces two major challenges. First, acquiring sufficient manual delineations for training can take hundreds of hours. Second, OCTA images suffer from numerous contrast-related artifacts that are currently inherent to the modality and vary dramatically across scanners. We propose to solve both problems by learning a disentanglement of an anatomy component and a local contrast component from paired OCTA scans. With the contrast removed from the anatomy component, a deep learning model that takes the anatomy component as input can learn to segment vessels with a limited portion of the training images being manually labeled. Our method demonstrates state-of-the-art performance for OCTA vessel segmentation.",20,Journal,ar,Article,100,12,12,NA,16733,NEI,R01EY032284,National Eye Institute,1,TRUE,all,All Open Access,59,02780062,3686-3698,35862335,Angiography | OCT | OCTA | variational autoencoder | vessel segmentation,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85134417793,SCOPUS_ID:85134417793,2-s2.0-85134417793,Acetyl-cholinesterase-inhibitors slow cognitive decline and decrease overall mortality in older patients with dementia,Zuin M.,Scientific Reports,20452322,12,1,2022-12-01,December 2022,10.1038/s41598-022-16476-w,"We evaluated the effect of Acetyl-cholinesterase-inhibitors (AChEIs) on cognitive decline and overall survival in a large sample of older patients with late onset Alzheimer’s disease (LOAD), vascular dementia (VD) or Lewy body disease (LBD) from a real world setting. Patients with dementia enrolled between 2005 and 2020 by the ""Alzheimer's Disease Research Centers"" were analysed; the mean follow-up period was 7.9 years. A 1:1 propensity score matching was performed generating a cohort of 1.572 patients (786 treated [AChEIs +] and 786 not treated [AChEIs-] with AChEIs. The MMSE score was almost stable during the first 6 years of follow up in AChEIs + and then declined, while in AChEIs− it progressively declined so that at the end of follow-up (13.6 years) the average decrease in MMSE was 10.8 points in AChEIs- compared with 5.4 points in AChEIs + (p < 0.001). This trend was driven by LOAD (Δ-MMSE:−10.8 vs. −5.7 points; p < 0.001), although a similar effect was observed in VD (Δ-MMSE:−11.6 vs. −8.8; p < 0.001). No effect on cognitive status was found in LBD. At multivariate Cox regression analysis (adjusted for age, gender, dependency level and depression) a strong association between AChEIs therapy and lower all-cause mortality was observed (H.R.:0.59; 95%CI: 0.53–0.66); this was confirmed also in analyses separately conducted in LOAD, VD and LBD. Among older people with dementia, treatment with AChEIs was associated with a slower cognitive decline and with reduced mortality, after a mean follow-up of almost eight years. Our data support the effectiveness of AChEIs in older patients affected by these types of dementia.",30,Journal,ar,Article,100,5,5,12214,21100200805,NIH,U01 AG016976,National Institutes of Health,1,TRUE,all,All Open Access,60,NA,NA,35842477,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85134406389,SCOPUS_ID:85134406389,2-s2.0-85134406389,LRRK2 kinase activity regulates GCase level and enzymatic activity differently depending on cell type in Parkinson’s disease,Kedariti M.,npj Parkinson's Disease,23738057,8,1,2022-12-01,December 2022,10.1038/s41531-022-00354-3,"Leucine-rich repeat kinase 2 (LRRK2) is a kinase involved in different cellular functions, including autophagy, endolysosomal pathways, and immune function. Mutations in LRRK2 cause autosomal-dominant forms of Parkinson’s disease (PD). Heterozygous mutations in GBA1, the gene encoding the lysosomal enzyme glucocerebrosidase (GCase), are the most common genetic risk factors for PD. Moreover, GCase function is altered in idiopathic PD and in other genetic forms of the disease. Recent work suggests that LRRK2 kinase activity can regulate GCase function. However, both a positive and a negative correlation have been described. To gain insights into the impact of LRRK2 on GCase, we performed a comprehensive analysis of GCase levels and activity in complementary LRRK2 models, including (i) LRRK2 G2019S knock in (GSKI) mice, (ii) peripheral blood mononuclear cell (PBMCs), plasma, and fibroblasts from PD patients carrying LRRK2 G2019S mutation, (iii) patient iPSCs-derived neurons; (iv) endogenous and overexpressed cell models. In some of these models we found a positive correlation between the activities of LRRK2 and GCase, which was further confirmed in cell lines with genetic and pharmacological manipulation of LRRK2 kinase activity. GCase protein level is reduced in GSKI brain tissues and in G2019S iPSCs-derived neurons, but increased in fibroblasts and PBMCs from patients, suggesting cell-type-specific effects. Overall, our study indicates that LRRK2 kinase activity affects both the levels and the catalytic activity of GCase in a cell-type-specific manner, with important implications in the context of therapeutic application of LRRK2 inhibitors in GBA1-linked and idiopathic PD.",19,Journal,ar,Article,100,19,19,92,21100982311,NIA,ZIAAG000948,National Institute on Aging,1,TRUE,all,All Open Access,61,NA,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85134238998,SCOPUS_ID:85134238998,2-s2.0-85134238998,17q21.31 sub-haplotypes underlying H1-associated risk for Parkinson’s disease are associated with LRRC37A/2 expression in astrocytes,Bowles K.R.,Molecular Neurodegeneration,17501326,17,1,2022-12-01,December 2022,10.1186/s13024-022-00551-x,"Background: Parkinson’s disease (PD) is genetically associated with the H1 haplotype of the MAPT 17q.21.31 locus, although the causal gene and variants underlying this association have not been identified. Methods: To better understand the genetic contribution of this region to PD and to identify novel mechanisms conferring risk for the disease, we fine-mapped the 17q21.31 locus by constructing discrete haplotype blocks from genetic data. We used digital PCR to assess copy number variation associated with PD-associated blocks, and used human brain postmortem RNA-seq data to identify candidate genes that were then further investigated using in vitro models and human brain tissue. Results: We identified three novel H1 sub-haplotype blocks across the 17q21.31 locus associated with PD risk. Protective sub-haplotypes were associated with increased LRRC37A/2 copy number and expression in human brain tissue. We found that LRRC37A/2 is a membrane-associated protein that plays a role in cellular migration, chemotaxis and astroglial inflammation. In human substantia nigra, LRRC37A/2 was primarily expressed in astrocytes, interacted directly with soluble α-synuclein, and co-localized with Lewy bodies in PD brain tissue. Conclusion: These data indicate that a novel candidate gene, LRRC37A/2, contributes to the association between the 17q21.31 locus and PD via its interaction with α-synuclein and its effects on astrocytic function and inflammatory response. These data are the first to associate the genetic association at the 17q21.31 locus with PD pathology, and highlight the importance of variation at the 17q21.31 locus in the regulation of multiple genes other than MAPT and KANSL1, as well as its relevance to non-neuronal cell types.",20,Journal,ar,Article,100,20,20,48,5700191214,NIH,P01 AG026276,National Institutes of Health,1,TRUE,all,All Open Access,62,NA,NA,35841044,17q21.31 | Astrocytes | Copy number variation | LRRC37A | Parkinson’s disease,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85133647050,SCOPUS_ID:85133647050,2-s2.0-85133647050,Biomarkers of aging in real life: three questions on aging and the comprehensive geriatric assessment,Zampino M.,GeroScience,25092723,44,6,2022-12-01,December 2022,10.1007/s11357-022-00613-4,"Measuring intrinsic, biological age is a central question in medicine, which scientists have been trying to answer for decades. Age manifests itself differently in different individuals, and chronological age often does not reflect such heterogeneity of health and function. We discuss here the value of measuring age and aging using the comprehensive geriatric assessment (CGA), cornerstone of geriatric medicine, and operationalized assessment tools for prognosis. Specifically, we review the benefits of employing the multidimensional prognostic index (MPI), which collects information about eight domains relevant for the global assessment of the older person (functional and cognitive status, nutrition, mobility and risk of pressure sores, multi-morbidity, polypharmacy, and co-habitation), in the evaluation of the functional status, and in the prediction of health outcomes for older adults. Further integration of biological markers of aging into multidimensional prognostic tools is warranted, as well as actions which could facilitate prognostic assessments for older persons in all healthcare settings.",36,Journal,re,Review,100,7,7,NA,21100805354,NIA,undefined,National Institute on Aging,1,TRUE,all,All Open Access,63,25092715,2611-2622,35796977,Biological aging | Comprehensive geriatric assessment | Frailty | Multidimensional prognostic index,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85133598400,SCOPUS_ID:85133598400,2-s2.0-85133598400,Scalar on time-by-distribution regression and its application for modelling associations between daily-living physical activity and cognitive functions in Alzheimer’s Disease,Ghosal R.,Scientific Reports,20452322,12,1,2022-12-01,December 2022,10.1038/s41598-022-15528-5,"Wearable data is a rich source of information that can provide a deeper understanding of links between human behaviors and human health. Existing modelling approaches use wearable data summarized at subject level via scalar summaries in regression, temporal (time-of-day) curves in functional data analysis (FDA), and distributions in distributional data analysis (DDA). We propose to capture temporally local distributional information in wearable data using subject-specific time-by-distribution (TD) data objects. Specifically, we develop scalar on time-by-distribution regression (SOTDR) to model associations between scalar response of interest such as health outcomes or disease status and TD predictors. Additionally, we show that TD data objects can be parsimoniously represented via a collection of time-varying L-moments that capture distributional changes over the time-of-day. The proposed method is applied to the accelerometry study of mild Alzheimer’s disease (AD). We found that mild AD is significantly associated with reduced upper quantile levels of physical activity, particularly during morning hours. In-sample cross validation demonstrated that TD predictors attain much stronger associations with clinical cognitive scales of attention, verbal memory, and executive function when compared to predictors summarized via scalar total activity counts, temporal functional curves, and quantile functions. Taken together, the present results suggest that SOTDR analysis provides novel insights into cognitive function and AD.",11,Journal,ar,Article,100,7,7,11558,21100200805,NA,undefined,NA,1,TRUE,all,All Open Access,64,NA,NA,35798763,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85133414661,SCOPUS_ID:85133414661,2-s2.0-85133414661,"Advancing equity through strengthening research on health and well-being of Asian American, Native Hawaiian, and Pacific Islander",Xi D.,Cell and Bioscience,20453701,12,1,2022-12-01,December 2022,10.1186/s13578-022-00834-2,"The National Institutes of Health’s Asian American, Native Hawaiian and Pacific Islander Health Scientific Interest Group (NIH AANHPI-HSIG) provides a viewpoint on developing approaches to enhance research on health and wellbeing for Asian American, Native Hawaiian, and Pacific Islander ethnic populations, in order to advance racial equity amongst such populations.",2,Journal,ar,Article,100,5,5,101,19900193985,NIH,undefined,National Institutes of Health,1,TRUE,all,All Open Access,65,NA,NA,NA,Asian American | Equity | Health disparity | Minority health | Native Hawaiian | Pacific Islander,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85132834838,SCOPUS_ID:85132834838,2-s2.0-85132834838,Emergence of heartbeat frailty in advanced age I: perspectives from life-long EKG recordings in adult mice,Moen J.M.,GeroScience,25092723,44,6,2022-12-01,December 2022,10.1007/s11357-022-00605-4,"The combined influences of sinoatrial nodal (SAN) pacemaker cell automaticity and its response to autonomic input determine the heart’s beating interval variability and mean beating rate. To determine the intrinsic SAN and autonomic signatures buried within EKG RR interval time series change in advanced age, we measured RR interval variability before and during double autonomic blockade at 3-month intervals from 6 months of age until the end of life in long-lived (those that achieved the total cohort median life span of 24 months and beyond) C57/BL6 mice. Prior to 21 months of age, time-dependent changes in intrinsic RR interval variability and mean RR interval were relatively minor. Between 21 and 30 months of age, however, marked changes emerged in intrinsic SAN RR interval variability signatures, pointing to a reduction in the kinetics of pacemaker clock mechanisms, leading to reduced synchronization of molecular functions within and among SAN cells. This loss of high-frequency signal processing within intrinsic SAN signatures resulted in a marked increase in the mean intrinsic RR interval. The impact of autonomic signatures on RR interval variability were net sympathetic and partially compensated for the reduced kinetics of the intrinsic SAN RR interval variability signatures, and partially, but not completely, shifted the EKG RR time series intervals to a more youthful pattern. Cross-sectional analyses of other subsets of C57/BL6 ages indicated that at or beyond the median life span of our longitudinal cohort, noncardiac, constitutional, whole-body frailty was increased, energetic efficiency was reduced, and the respiratory exchange ratio increased. We interpret the progressive reduction in kinetics in intrinsic SAN RR interval variability signatures in this context of whole-body frailty beyond 21 months of age to be a manifestation of “heartbeat frailty.”",12,Journal,ar,Article,100,11,11,NA,21100805354,NIA,ISF330/19,National Institute on Aging,1,TRUE,all,All Open Access,66,25092715,2801-2830,35759167,Autonomic nervous system | Heart rate variability | Longitudinal aging | Sinoatrial node,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85132346006,SCOPUS_ID:85132346006,2-s2.0-85132346006,Deficiency in endocannabinoid synthase DAGLB contributes to early onset Parkinsonism and murine nigral dopaminergic neuron dysfunction,Liu Z.,Nature Communications,20411723,13,1,2022-12-01,December 2022,10.1038/s41467-022-31168-9,"Endocannabinoid (eCB), 2-arachidonoyl-glycerol (2-AG), the most abundant eCB in the brain, regulates diverse neural functions. Here we linked multiple homozygous loss-of-function mutations in 2-AG synthase diacylglycerol lipase β (DAGLB) to an early onset autosomal recessive Parkinsonism. DAGLB is the main 2-AG synthase in human and mouse substantia nigra (SN) dopaminergic neurons (DANs). In mice, the SN 2-AG levels were markedly correlated with motor performance during locomotor skill acquisition. Genetic knockdown of Daglb in nigral DANs substantially reduced SN 2-AG levels and impaired locomotor skill learning, particularly the across-session learning. Conversely, pharmacological inhibition of 2-AG degradation increased nigral 2-AG levels, DAN activity and dopamine release and rescued the locomotor skill learning deficits. Together, we demonstrate that DAGLB-deficiency contributes to the pathogenesis of Parkinsonism, reveal the importance of DAGLB-mediated 2-AG biosynthesis in nigral DANs in regulating neuronal activity and dopamine release, and suggest potential benefits of 2-AG augmentation in alleviating Parkinsonism.",31,Journal,ar,Article,100,37,37,3490,19700182758,NIH,K99/R00 AA025991,National Institutes of Health,1,TRUE,all,All Open Access,67,NA,NA,35715418,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85132081422,SCOPUS_ID:85132081422,2-s2.0-85132081422,Genome-wide meta-analysis of iron status biomarkers and the effect of iron on all-cause mortality in HUNT,Moksnes M.R.,Communications Biology,23993642,5,1,2022-12-01,December 2022,10.1038/s42003-022-03529-z,"Iron is essential for many biological processes, but iron levels must be tightly regulated to avoid harmful effects of both iron deficiency and overload. Here, we perform genome-wide association studies on four iron-related biomarkers (serum iron, serum ferritin, transferrin saturation, total iron-binding capacity) in the Trøndelag Health Study (HUNT), the Michigan Genomics Initiative (MGI), and the SardiNIA study, followed by their meta-analysis with publicly available summary statistics, analyzing up to 257,953 individuals. We identify 123 genetic loci associated with iron traits. Among 19 novel protein-altering variants, we observe a rare missense variant (rs367731784) in HUNT, which suggests a role for DNAJC13 in transferrin recycling. We further validate recently published results using genetic risk scores for each biomarker in HUNT (6% variance in serum iron explained) and present linear and non-linear Mendelian randomization analyses of the traits on all-cause mortality. We find evidence of a harmful effect of increased serum iron and transferrin saturation in linear analyses that estimate population-averaged effects. However, there was weak evidence of a protective effect of increasing serum iron at the very low end of its distribution. Our findings contribute to our understanding of the genes affecting iron status and its consequences on human health.",18,Journal,ar,Article,100,19,19,591,21100924827,NTNU,BRC-1215-20014,Helse Midt-Norge,1,TRUE,all,All Open Access,68,NA,NA,35710628,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85132050170,SCOPUS_ID:85132050170,2-s2.0-85132050170,A proteogenomic signature of age-related macular degeneration in blood,Emilsson V.,Nature Communications,20411723,13,1,2022-12-01,December 2022,10.1038/s41467-022-31085-x,"Age-related macular degeneration (AMD) is one of the most common causes of visual impairment in the elderly, with a complex and still poorly understood etiology. Whole-genome association studies have discovered 34 genomic regions associated with AMD. However, the genes and cognate proteins that mediate the risk, are largely unknown. In the current study, we integrate levels of 4782 human serum proteins with all genetic risk loci for AMD in a large population-based study of the elderly, revealing many proteins and pathways linked to the disease. Serum proteins are also found to reflect AMD severity independent of genetics and predict progression from early to advanced AMD after five years in this population. A two-sample Mendelian randomization study identifies several proteins that are causally related to the disease and are directionally consistent with the observational estimates. In this work, we present a robust and unique framework for elucidating the pathobiology of AMD.",23,Journal,ar,Article,100,30,30,3401,19700182758,NIA,ZIAAG007380,National Institute on Aging,1,TRUE,all,All Open Access,69,NA,NA,35697682,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85131867525,SCOPUS_ID:85131867525,2-s2.0-85131867525,Differential and shared genetic effects on kidney function between diabetic and non-diabetic individuals,Winkler T.W.,Communications Biology,23993642,5,1,2022-12-01,01 December 2022,10.1038/s42003-022-03448-z,"Reduced glomerular filtration rate (GFR) can progress to kidney failure. Risk factors include genetics and diabetes mellitus (DM), but little is known about their interaction. We conducted genome-wide association meta-analyses for estimated GFR based on serum creatinine (eGFR), separately for individuals with or without DM (nDM = 178,691, nnoDM = 1,296,113). Our genome-wide searches identified (i) seven eGFR loci with significant DM/noDM-difference, (ii) four additional novel loci with suggestive difference and (iii) 28 further novel loci (including CUBN) by allowing for potential difference. GWAS on eGFR among DM individuals identified 2 known and 27 potentially responsible loci for diabetic kidney disease. Gene prioritization highlighted 18 genes that may inform reno-protective drug development. We highlight the existence of DM-only and noDM-only effects, which can inform about the target group, if respective genes are advanced as drug targets. Largely shared effects suggest that most drug interventions to alter eGFR should be effective in DM and noDM.",21,Journal,ar,Article,100,324,100,580,21100924827,NIH,216-1080315-0302,Singulex,1,TRUE,all,All Open Access,70,NA,NA,35697829,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85131827331,SCOPUS_ID:85131827331,2-s2.0-85131827331,Plasma neurofilament light and its association with all-cause mortality risk among urban middle-aged men and women,Beydoun M.A.,BMC Medicine,17417015,20,1,2022-12-01,December 2022,10.1186/s12916-022-02425-x,"Background: Neurofilament light chain (NfL) is released into the blood during neuronal damage. NfL is linked to mortality in neurological disorders, remaining unexplored in population studies. We investigated whether initial (v1) and annualized change (δ) in plasma NfL can predict all-cause mortality in middle-aged dementia-free urban adults. Methods: Longitudinal data were from 694 participants in the Healthy Aging in Neighborhoods of Diversity Across the Life Span study (HANDLS, mean agev1: 47.8 years, 42% male, 55.8% African American). Plasma NfL was measured prospectively at three visits. Analyses included Cox proportional hazards models for all-cause mortality risk and 4-way decomposition testing for interaction and mediation. Results: Unlike men, women exhibited a direct association between δNfL (above vs. below median) and all-cause mortality risk in both the minimally (HR = 3.91, 95% CI 1.10–13.9, p = 0.036) and fully adjusted models (HR = 4.92, 95% CI 1.26–19.2, p = 0.022), and for δNfL (per unit increase) in the full model (HR = 1.65, 95% CI 1.04–2.61, p = 0.034). In both models, and among women, 1 standard deviation of NfLv1 was associated with an increased all-cause mortality risk (reduced model: HR = 2.01, 95% CI 1.24–3.25, p = 0.005; full model: HR = 1.75, 95% CI 1.02–2.98, p = 0.041). Only few interactions were detected for cardio-metabolic risk factors. Notably, NfLv1 was shown to be a better prognostic indicator at normal hsCRP values among women, while HbA1c and δNfL interacted synergistically to determine mortality risk, overall. Conclusions: These findings indicate that plasma NfL levels at baseline and over time can predict all-cause mortality in women and interacts with hsCRP and HbA1c to predict that risk.",9,Journal,ar,Article,100,7,7,218,28111,NIH,ZIAAG000513,National Institutes of Health,1,TRUE,all,All Open Access,71,NA,NA,35692046,Biomarker | Death | Humans | NfL | Plasma | Prognosis | Race,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85130230440,SCOPUS_ID:85130230440,2-s2.0-85130230440,"NF-κB, a culprit of both inflamm-ageing and declining immunity?",Songkiatisak P.,Immunity and Ageing,17424933,19,1,2022-12-01,December 2022,10.1186/s12979-022-00277-w,"NF-κB is generally recognized as an important regulator of ageing, through its roles in cellular senescence and inflammatory pathways. Activated in virtually all cell-cell communication networks of the immune system, NF-κB is thought to affect age-related defects of both innate and adaptive immune cells, relevant to inflamm-ageing and declining adaptive immunity, respectively. Moreover, the family of NF-κB proteins that exist as heterodimers and homodimers exert their function beyond the immune system. Given their involvement in diverse areas such as DNA damage to metabolism, NF-κB has the potential to serve as linkages between known hallmarks of ageing. However, the complexity of NF-κB dimer composition, dynamic signaling, and tissue-specific actions has received relatively little attention in ageing research. Here, we discuss some areas where further research may bear fruit in our understanding the impact of NF-κB in healthy ageing and longevity.",45,Journal,re,Review,100,4,4,20,4400151516,NIH,ZIAAG000380,National Institutes of Health,1,TRUE,all,All Open Access,72,NA,NA,NA,Ageing | Immunosenescence | Inflammation | Mammalian stress pathways | NF-κB,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85129996814,SCOPUS_ID:85129996814,2-s2.0-85129996814,DNA methylation signature of chronic low-grade inflammation and its role in cardio-respiratory diseases,Wielscher M.,Nature Communications,20411723,13,1,2022-12-01,December 2022,10.1038/s41467-022-29792-6,"We performed a multi-ethnic Epigenome Wide Association study on 22,774 individuals to describe the DNA methylation signature of chronic low-grade inflammation as measured by C-Reactive protein (CRP). We find 1,511 independent differentially methylated loci associated with CRP. These CpG sites show correlation structures across chromosomes, and are primarily situated in euchromatin, depleted in CpG islands. These genomic loci are predominantly situated in transcription factor binding sites and genomic enhancer regions. Mendelian randomization analysis suggests altered CpG methylation is a consequence of increased blood CRP levels. Mediation analysis reveals obesity and smoking as important underlying driving factors for changed CpG methylation. Finally, we find that an activated CpG signature significantly increases the risk for cardiometabolic diseases and COPD.",50,Journal,ar,Article,100,89,89,2408,19700182758,FMCNA,RC2HL102419,Fresenius Medical Care North America,1,TRUE,all,All Open Access,73,NA,NA,35504910,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85129305556,SCOPUS_ID:85129305556,2-s2.0-85129305556,Comparative metabolomic analysis in plasma and cerebrospinal fluid of humans and in plasma and brain of mice following antidepressant-dose ketamine administration,Moaddel R.,Translational Psychiatry,21583188,12,1,2022-12-01,December 2022,10.1038/s41398-022-01941-x,"Subanesthetic-dose racemic (R,S)-ketamine (ketamine) produces rapid, robust, and sustained antidepressant effects in major depressive disorder (MDD) and bipolar disorder (BD) and has also been shown to effectively treat neuropathic pain, complex regional pain syndrome, and post-traumatic stress disorder (PTSD). However, to date, its mechanism of action remains unclear. Preclinical studies found that (2 R,6 R;2 S,6 S)-hydroxynorketamine (HNK), a major circulating metabolite of ketamine, elicits antidepressant effects similar to those of ketamine. To help determine how (2 R,6 R)-HNK contributes to ketamine’s mechanism of action, an exploratory, targeted, metabolomic analysis was carried out on plasma and CSF of nine healthy volunteers receiving a 40-minute ketamine infusion (0.5 mg/kg). A parallel targeted metabolomic analysis in plasma, hippocampus, and hypothalamus was carried out in mice receiving either 10 mg/kg of ketamine, 10 mg/kg of (2 R,6 R)-HNK, or saline. Ketamine and (2 R,6 R)-HNK both affected multiple pathways associated with inflammatory conditions. In addition, several changes were unique to either the healthy human volunteers and/or the mouse arm of the study, indicating that different pathways may be differentially involved in ketamine’s effects in mice and humans. Mechanisms of action found to consistently underlie the effects of ketamine and/or (2 R,6 R)-HNK across both the human metabolome in plasma and CSF and the mouse arm of the study included LAT1, IDO1, NAD+, the nitric oxide (NO) signaling pathway, and sphingolipid rheostat.",18,Journal,ar,Article,100,15,15,179,19900191866,NIH,NCT03065335,National Institutes of Health,1,TRUE,all,All Open Access,74,NA,NA,35501309,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/85128467212,SCOPUS_ID:85128467212,2-s2.0-85128467212,Longitudinal associations between energy utilization and brain volumes in cognitively normal middle aged and older adults,Qiao Y.,Scientific Reports,20452322,12,1,2022-12-01,December 2022,10.1038/s41598-022-10421-7,"Peak energy capacity of the whole person is associated with neurodegeneration. However, change in ability to utilize energy manifests as combination of declining peak energy capacity and rising energetic costs of mobility in mid-to-late life. We examined longitudinal associations between change in energy utilization and brain volumes. Cognitively normal participants from the Baltimore Longitudinal Study of Aging (N = 703, age = 70.4 ± 12.1 years, 54.1% women, 30% black) had concurrent data on brain volumes and energy utilization (defined as ratio of energetic cost of walking to peak energy capacity (“cost-to-capacity ratio”) at ≥ 1 visit between 2008 and 2018. We performed linear mixed-effect models, adjusting for demographics, medical history and walking engagement. Average baseline cost-to-capacity ratio was 0.55 ± 0.16, with average annual increase of 0.04 ± 0.13 over 3.9 follow-up years. A 10% higher baseline cost-to-capacity ratio was associated with 2.00 cm3 (SE = 0.44) larger baseline ventricular volume (p < 0.001), and 0.10 cm3 (SE = 0.03) greater annual increase in ventricular volume (p = 0.004) after adjustment. Longitudinal change in cost-to-capacity ratio was not associated with brain volumes. These findings highlight, among cognitive-normal adults, poorer baseline energy utilization is associated with subsequent ventricular enlargement, an indirect measure of central brain atrophy. Future studies should explore whether early detection of worsening energy utilization may act as a marker of underlying brain atrophy.",3,Journal,ar,Article,100,11,11,6472,21100200805,NIH,U01AG057545,National Institutes of Health,1,TRUE,all,All Open Access,75,NA,NA,35440799,NA,NA
